city,street,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
SACRAMENTO,648 SANTA ANA AVE,95838,CA,3,2,1211,Residential,Tue May 20 00:00:00 EDT 2008,135000,38.658478,-121.45040900000001
SACRAMENTO,14 ASHLEY OAKS CT,95815,CA,3,2,1264,Residential,Tue May 20 00:00:00 EDT 2008,135500,38.61779,-121.436765
SACRAMENTO,3174 NORTHVIEW DR,95833,CA,3,1,1080,Residential,Tue May 20 00:00:00 EDT 2008,140000,38.623816999999995,-121.477827
GALT,840 TRANQUIL LN,95632,CA,3,2,1266,Residential,Tue May 20 00:00:00 EDT 2008,140000,38.270617,-121.299205
FAIR OAKS,5333 PRIMROSE DR Unit 19A,95628,CA,2,2,994,Condo,Tue May 20 00:00:00 EDT 2008,142500,38.662785,-121.27627199999999
SACRAMENTO,1035 MILLET WAY,95834,CA,3,2,1202,Residential,Tue May 20 00:00:00 EDT 2008,143500,38.631056,-121.48508000000001
ELK GROVE,5201 LAGUNA OAKS DR Unit 126,95758,CA,0,0,0,Condo,Tue May 20 00:00:00 EDT 2008,145000,38.423251,-121.44448899999999
SACRAMENTO,3328 22ND AVE,95820,CA,2,1,722,Residential,Tue May 20 00:00:00 EDT 2008,145000,38.532727,-121.47078300000001
SACRAMENTO,8001 HARTWICK WAY,95828,CA,4,2,1448,Residential,Tue May 20 00:00:00 EDT 2008,145000,38.488623,-121.410582
SACRAMENTO,7812 HARTWICK WAY,95828,CA,3,2,1188,Residential,Tue May 20 00:00:00 EDT 2008,145000,38.488611,-121.41280800000001
NORTH HIGHLANDS,4207 PAINTER WAY,95660,CA,4,2,1183,Residential,Tue May 20 00:00:00 EDT 2008,146000,38.692915,-121.367497
SACRAMENTO,7458 WINKLEY WAY,95822,CA,3,1,1320,Residential,Tue May 20 00:00:00 EDT 2008,148500,38.487444,-121.49136599999999
SACRAMENTO,8354 SUNRISE WOODS WAY,95828,CA,3,2,1117,Residential,Tue May 20 00:00:00 EDT 2008,149000,38.473288000000004,-121.3963
SACRAMENTO,8116 COTTONMILL CIR,95828,CA,3,2,1364,Residential,Tue May 20 00:00:00 EDT 2008,150000,38.482876,-121.40591200000001
SACRAMENTO,4660 CEDARWOOD WAY,95823,CA,4,2,1310,Residential,Tue May 20 00:00:00 EDT 2008,150000,38.484834,-121.449316
ELK GROVE,9254 HARROGATE WAY,95758,CA,2,2,1006,Residential,Tue May 20 00:00:00 EDT 2008,152000,38.420138,-121.41217900000001
CITRUS HEIGHTS,6716 TAREYTON WAY,95621,CA,3,2,1104,Residential,Tue May 20 00:00:00 EDT 2008,156000,38.693723999999996,-121.30716899999999
SACRAMENTO,2028 ROBERT WAY,95825,CA,2,1,810,Residential,Tue May 20 00:00:00 EDT 2008,156000,38.609982,-121.41926299999999
ELK GROVE,9346 AIZENBERG CIR,95624,CA,2,2,1123,Residential,Tue May 20 00:00:00 EDT 2008,156000,38.41875,-121.370019
SACRAMENTO,4524 LOCH HAVEN WAY,95842,CA,2,1,904,Residential,Tue May 20 00:00:00 EDT 2008,157788,38.67273,-121.359645
CITRUS HEIGHTS,7140 BLUE SPRINGS WAY,95621,CA,3,2,1156,Residential,Tue May 20 00:00:00 EDT 2008,161653,38.720653000000006,-121.302241
SACRAMENTO,4631 11TH AVE,95820,CA,2,1,1321,Residential,Tue May 20 00:00:00 EDT 2008,161829,38.541965000000005,-121.452132
ANTELOPE,3228 BAGGAN CT,95843,CA,3,2,1392,Residential,Tue May 20 00:00:00 EDT 2008,165000,38.715346000000004,-121.38816299999999
SACRAMENTO,8515 DARTFORD DR,95823,CA,3,2,1439,Residential,Tue May 20 00:00:00 EDT 2008,168000,38.448288,-121.42071899999999
SACRAMENTO,4500 TIPPWOOD WAY,95842,CA,3,2,1159,Residential,Tue May 20 00:00:00 EDT 2008,169000,38.69951,-121.35998899999998
RANCHO CORDOVA,2460 EL ROCCO WAY,95670,CA,3,2,1671,Residential,Tue May 20 00:00:00 EDT 2008,175000,38.591477000000005,-121.31533999999999
SACRAMENTO,8244 SUNBIRD WAY,95823,CA,3,2,1740,Residential,Tue May 20 00:00:00 EDT 2008,176250,38.457654,-121.431381
SACRAMENTO,5841 VALLEY VALE WAY,95823,CA,3,2,1265,Residential,Tue May 20 00:00:00 EDT 2008,179000,38.461283,-121.434322
ANTELOPE,7863 CRESTLEIGH CT,95843,CA,2,2,1007,Residential,Tue May 20 00:00:00 EDT 2008,180000,38.710889,-121.358876
ELK GROVE,7129 SPRINGMONT DR,95758,CA,3,2,1716,Residential,Tue May 20 00:00:00 EDT 2008,180400,38.417649,-121.420294
ELK GROVE,8284 RED FOX WAY,95758,CA,4,2,1685,Residential,Tue May 20 00:00:00 EDT 2008,182000,38.417182000000004,-121.397231
RANCHO CORDOVA,2219 EL CANTO CIR,95670,CA,4,2,1829,Residential,Tue May 20 00:00:00 EDT 2008,184500,38.592383,-121.318669
ELK GROVE,8907 GEMWOOD WAY,95758,CA,3,2,1555,Residential,Tue May 20 00:00:00 EDT 2008,185000,38.435471,-121.44117299999999
CARMICHAEL,5925 MALEVILLE AVE,95608,CA,4,2,1120,Residential,Tue May 20 00:00:00 EDT 2008,189000,38.666564,-121.325717
CITRUS HEIGHTS,7031 CANEVALLEY CIR,95621,CA,3,2,1137,Residential,Tue May 20 00:00:00 EDT 2008,194000,38.718693,-121.303619
SACRAMENTO,3949 WILDROSE WAY,95826,CA,3,1,1174,Residential,Tue May 20 00:00:00 EDT 2008,195000,38.543696999999995,-121.36668300000001
ANTELOPE,4437 MITCHUM CT,95843,CA,3,2,1393,Residential,Tue May 20 00:00:00 EDT 2008,200000,38.704407,-121.36113
CAMERON PARK,2778 KAWEAH CT,95682,CA,3,1,0,Residential,Tue May 20 00:00:00 EDT 2008,201000,38.694052,-120.995589
LINCOLN,1636 ALLENWOOD CIR,95648,CA,4,2,0,Residential,Tue May 20 00:00:00 EDT 2008,202500,38.879191999999996,-121.309477
SACRAMENTO,8151 QUAIL RIDGE CT,95828,CA,3,2,1289,Residential,Tue May 20 00:00:00 EDT 2008,205000,38.461296000000004,-121.39085800000001
SACRAMENTO,4899 WIND CREEK DR,95838,CA,4,2,1799,Residential,Tue May 20 00:00:00 EDT 2008,205000,38.655887,-121.446119
PLACERVILLE,2370 BIG CANYON CREEK RD,95667,CA,3,2,0,Residential,Tue May 20 00:00:00 EDT 2008,205000,38.74458,-120.79425400000001
SACRAMENTO,6049 HAMBURG WAY,95823,CA,4,3,1953,Residential,Tue May 20 00:00:00 EDT 2008,205000,38.443253000000006,-121.431992
SACRAMENTO,4232 71ST ST,95820,CA,2,1,723,Residential,Tue May 20 00:00:00 EDT 2008,207000,38.536741,-121.42115
CAMERON PARK,3361 BOW MAR CT,95682,CA,2,2,0,Residential,Tue May 20 00:00:00 EDT 2008,210000,38.69437,-120.996602
PLACERVILLE,1889 COLD SPRINGS RD,95667,CA,2,1,948,Residential,Tue May 20 00:00:00 EDT 2008,211500,38.739774,-120.860243
CITRUS HEIGHTS,5805 HIMALAYA WAY,95621,CA,4,2,1578,Residential,Tue May 20 00:00:00 EDT 2008,215000,38.696489,-121.32855500000001
CITRUS HEIGHTS,7944 SYLVAN OAK WAY,95610,CA,3,2,1317,Residential,Tue May 20 00:00:00 EDT 2008,215000,38.710388,-121.261096
SACRAMENTO,3139 SPOONWOOD WAY Unit 1,95833,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,215500,38.626582,-121.52151
SACRAMENTO,6217 LEOLA WAY,95824,CA,3,1,1360,Residential,Tue May 20 00:00:00 EDT 2008,222381,38.513065999999995,-121.45190900000001
SACRAMENTO,2340 HURLEY WAY,95825,CA,0,0,0,Condo,Tue May 20 00:00:00 EDT 2008,225000,38.588815999999994,-121.408549
SACRAMENTO,3035 BRUNNET LN,95833,CA,3,2,1522,Residential,Tue May 20 00:00:00 EDT 2008,225000,38.624762,-121.522775
SACRAMENTO,3025 EL PRADO WAY,95825,CA,4,2,1751,Residential,Tue May 20 00:00:00 EDT 2008,225000,38.606603,-121.394147
ELK GROVE,9387 GRANITE FALLS CT,95624,CA,3,2,1465,Residential,Tue May 20 00:00:00 EDT 2008,225000,38.419214000000004,-121.348533
SACRAMENTO,9257 CALDERA WAY,95826,CA,4,2,1605,Residential,Tue May 20 00:00:00 EDT 2008,228000,38.558209999999995,-121.35502199999999
RIO LINDA,441 ARLINGDALE CIR,95673,CA,4,2,1475,Residential,Tue May 20 00:00:00 EDT 2008,229665,38.702892999999996,-121.454949
MEADOW VISTA,2284 LOS ROBLES RD,95722,CA,3,1,1216,Residential,Tue May 20 00:00:00 EDT 2008,230000,39.008159,-121.03623
FAIR OAKS,8164 CHENIN BLANC LN,95628,CA,2,2,1315,Residential,Tue May 20 00:00:00 EDT 2008,230000,38.665644,-121.259969
ELK GROVE,4620 CHAMBERLIN CIR,95757,CA,3,2,1567,Residential,Tue May 20 00:00:00 EDT 2008,230000,38.390557,-121.449805
SACRAMENTO,5340 BIRK WAY,95835,CA,3,2,1776,Residential,Tue May 20 00:00:00 EDT 2008,234000,38.672495,-121.515251
SACRAMENTO,51 ANJOU CIR,95835,CA,3,2,2187,Residential,Tue May 20 00:00:00 EDT 2008,235000,38.661658,-121.54063300000001
SACRAMENTO,2125 22ND AVE,95822,CA,3,1,1291,Residential,Tue May 20 00:00:00 EDT 2008,236250,38.534596,-121.493121
FOLSOM,611 BLOSSOM ROCK LN,95630,CA,0,0,0,Condo,Tue May 20 00:00:00 EDT 2008,240000,38.6457,-121.1197
ELK GROVE,8830 ADUR RD,95624,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,242000,38.43742,-121.372876
SACRAMENTO,7344 BUTTERBALL WAY,95842,CA,3,2,1503,Residential,Tue May 20 00:00:00 EDT 2008,245000,38.699489,-121.361828
SACRAMENTO,8219 GWINHURST CIR,95828,CA,4,3,2491,Residential,Tue May 20 00:00:00 EDT 2008,245000,38.459711,-121.38428300000001
SACRAMENTO,3240 S ST,95816,CA,2,1,1269,Residential,Tue May 20 00:00:00 EDT 2008,245000,38.562296,-121.46748899999999
SACRAMENTO,221 PICASSO CIR,95835,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,250000,38.676658,-121.52812800000001
ORANGEVALE,5706 GREENACRES WAY,95662,CA,3,2,1176,Residential,Tue May 20 00:00:00 EDT 2008,250000,38.669882,-121.21353300000001
ORANGEVALE,6900 LONICERA DR,95662,CA,4,2,1456,Residential,Tue May 20 00:00:00 EDT 2008,250000,38.692199,-121.250975
ROSEVILLE,419 DAWNRIDGE RD,95678,CA,3,2,1498,Residential,Tue May 20 00:00:00 EDT 2008,250000,38.725283000000005,-121.297953
ANTELOPE,5312 MARBURY WAY,95843,CA,3,2,1574,Residential,Tue May 20 00:00:00 EDT 2008,255000,38.710221000000004,-121.341651
CITRUS HEIGHTS,6344 BONHAM CIR,95610,CA,5,4,2085,Multi-Family,Tue May 20 00:00:00 EDT 2008,256054,38.682358,-121.272876
SACRAMENTO,8207 YORKTON WAY,95829,CA,3,2,2170,Residential,Tue May 20 00:00:00 EDT 2008,257729,38.45967,-121.36046100000002
ELK GROVE,7922 MANSELL WAY,95758,CA,4,2,1595,Residential,Tue May 20 00:00:00 EDT 2008,260000,38.409634000000004,-121.41078700000001
ANTELOPE,5712 MELBURY CIR,95843,CA,3,2,1567,Residential,Tue May 20 00:00:00 EDT 2008,261000,38.705849,-121.334701
LINCOLN,632 NEWBRIDGE LN,95648,CA,4,2,0,Residential,Tue May 20 00:00:00 EDT 2008,261800,38.879084000000006,-121.29858600000001
SACRAMENTO,1570 GLIDDEN AVE,95822,CA,4,2,1253,Residential,Tue May 20 00:00:00 EDT 2008,264469,38.482704,-121.500433
ANTELOPE,8108 FILIFERA WAY,95843,CA,4,3,1768,Residential,Tue May 20 00:00:00 EDT 2008,265000,38.717042,-121.35468
SACRAMENTO,230 BANKSIDE WAY,95835,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,270000,38.676937,-121.52924399999999
SACRAMENTO,5342 CALABRIA WAY,95835,CA,4,3,2030,Residential,Tue May 20 00:00:00 EDT 2008,270000,38.671807,-121.498274
SACRAMENTO,47 NAPONEE CT,95835,CA,3,2,1531,Residential,Tue May 20 00:00:00 EDT 2008,270000,38.665704,-121.529096
SACRAMENTO,4236 ADRIATIC SEA WAY,95834,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,270000,38.647960999999995,-121.54316200000001
ELK GROVE,8864 REMBRANT CT,95624,CA,4,3,1653,Residential,Tue May 20 00:00:00 EDT 2008,275000,38.435288,-121.375703
ELK GROVE,9455 SEA CLIFF WAY,95758,CA,4,2,2056,Residential,Tue May 20 00:00:00 EDT 2008,275000,38.411522,-121.481406
ELK GROVE,9720 LITTLE HARBOR WAY,95624,CA,4,3,2494,Residential,Tue May 20 00:00:00 EDT 2008,280000,38.404934000000004,-121.352405
FAIR OAKS,8806 PHOENIX AVE,95628,CA,3,2,1450,Residential,Tue May 20 00:00:00 EDT 2008,286013,38.660322,-121.230101
SACRAMENTO,3578 LOGGERHEAD WAY,95834,CA,4,2,2169,Residential,Tue May 20 00:00:00 EDT 2008,292000,38.633028,-121.52675500000001
ROSEVILLE,1416 LOCKHART WAY,95747,CA,3,2,1440,Residential,Tue May 20 00:00:00 EDT 2008,292000,38.752399,-121.33032800000001
FAIR OAKS,5413 BUENA VENTURA WAY,95628,CA,3,2,1527,Residential,Tue May 20 00:00:00 EDT 2008,293993,38.664552,-121.25593700000002
ROSEVILLE,37 WHITE BIRCH CT,95678,CA,3,2,1401,Residential,Tue May 20 00:00:00 EDT 2008,294000,38.776327,-121.28451399999999
SACRAMENTO,405 MARLIN SPIKE WAY,95838,CA,3,2,1411,Residential,Tue May 20 00:00:00 EDT 2008,296769,38.65783,-121.456842
LINCOLN,1102 CHESLEY LN,95648,CA,4,4,0,Residential,Tue May 20 00:00:00 EDT 2008,297500,38.864864000000004,-121.313988
GOLD RIVER,11281 STANFORD COURT LN Unit 604,95670,CA,0,0,0,Condo,Tue May 20 00:00:00 EDT 2008,300000,38.625289,-121.26028600000001
RIO LINDA,7320 6TH ST,95673,CA,3,1,1284,Residential,Tue May 20 00:00:00 EDT 2008,300000,38.700553,-121.452223
GALT,993 MANTON CT,95632,CA,4,3,2307,Residential,Tue May 20 00:00:00 EDT 2008,300000,38.272942,-121.289148
PLACERVILLE,4487 PANORAMA DR,95667,CA,3,2,1329,Residential,Tue May 20 00:00:00 EDT 2008,300000,38.694559000000005,-120.848157
SACRAMENTO,5651 OVERLEAF WAY,95835,CA,4,2,1910,Residential,Tue May 20 00:00:00 EDT 2008,300500,38.677454,-121.49479099999999
GOLD RIVER,2015 PROMONTORY POINT LN,95670,CA,3,2,1981,Residential,Tue May 20 00:00:00 EDT 2008,305000,38.628732,-121.261149
ROSEVILLE,3224 PARKHAM DR,95747,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,306500,38.772771,-121.364877
SACRAMENTO,15 VANESSA PL,95835,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,312500,38.668692,-121.54548999999999
LINCOLN,1312 RENISON LN,95648,CA,5,3,0,Residential,Tue May 20 00:00:00 EDT 2008,315000,38.866409000000004,-121.308485
SACRAMENTO,8 RIVER RAFT CT,95823,CA,4,2,2205,Residential,Tue May 20 00:00:00 EDT 2008,319789,38.447353,-121.434969
LINCOLN,2251 LAMPLIGHT LN,95648,CA,2,2,1449,Residential,Tue May 20 00:00:00 EDT 2008,330000,38.849924,-121.275729
FOLSOM,106 FARHAM DR,95630,CA,3,2,1258,Residential,Tue May 20 00:00:00 EDT 2008,330000,38.667834,-121.168578
ELK GROVE,5405 NECTAR CIR,95757,CA,3,2,2575,Residential,Tue May 20 00:00:00 EDT 2008,331000,38.387014,-121.44096699999999
SACRAMENTO,5411 10TH AVE,95820,CA,2,1,539,Residential,Tue May 20 00:00:00 EDT 2008,334000,38.542727,-121.442449
RANCHO CORDOVA,3512 RAINSONG CIR,95670,CA,4,3,2208,Residential,Tue May 20 00:00:00 EDT 2008,336000,38.573488,-121.28280900000001
SACRAMENTO,1106 55TH ST,95819,CA,3,1,1108,Residential,Tue May 20 00:00:00 EDT 2008,339000,38.563805,-121.43639499999999
FOLSOM,411 ILLSLEY WAY,95630,CA,4,2,1595,Residential,Tue May 20 00:00:00 EDT 2008,339000,38.652002,-121.129504
GALT,796 BUTTERCUP CIR,95632,CA,4,2,2159,Residential,Tue May 20 00:00:00 EDT 2008,345000,38.279581,-121.30082800000001
PLACERVILLE,1230 SANDRA CIR,95667,CA,4,3,2295,Residential,Tue May 20 00:00:00 EDT 2008,350000,38.738141,-120.784145
ROSEVILLE,318 ANACAPA DR,95678,CA,3,2,1838,Residential,Tue May 20 00:00:00 EDT 2008,356000,38.782094,-121.297133
SACRAMENTO,3975 SHINING STAR DR,95823,CA,4,2,1900,Residential,Tue May 20 00:00:00 EDT 2008,361745,38.487409,-121.461413
SACRAMENTO,1620 BASLER ST,95811,CA,4,2,1718,Residential,Tue May 20 00:00:00 EDT 2008,361948,38.591822,-121.47864399999999
ELK GROVE,9688 NATURE TRAIL WAY,95757,CA,5,3,3389,Residential,Tue May 20 00:00:00 EDT 2008,370000,38.405224,-121.479275
ROCKLIN,5924 TANUS CIR,95677,CA,4,2,0,Residential,Tue May 20 00:00:00 EDT 2008,380000,38.778690999999995,-121.204292
ELK GROVE,9629 CEDAR OAK WAY,95757,CA,5,4,3260,Residential,Tue May 20 00:00:00 EDT 2008,385000,38.405527,-121.43174599999999
CAMERON PARK,3429 FERNBROOK CT,95682,CA,3,2,2016,Residential,Tue May 20 00:00:00 EDT 2008,399000,38.664225,-121.007173
ROCKLIN,2121 HANNAH WAY,95765,CA,4,2,2607,Residential,Tue May 20 00:00:00 EDT 2008,402000,38.805749,-121.28093100000001
ELK GROVE,10104 ANNIE ST,95757,CA,4,3,2724,Residential,Tue May 20 00:00:00 EDT 2008,406026,38.390465,-121.44347900000001
GALT,1092 MAUGHAM CT,95632,CA,5,4,3746,Residential,Tue May 20 00:00:00 EDT 2008,420000,38.271646000000004,-121.28684799999999
RANCHO CORDOVA,5404 ALMOND FALLS WAY,95742,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,425000,38.527502,-121.233492
RANCHO MURIETA,6306 CONEJO,95683,CA,4,2,3192,Residential,Tue May 20 00:00:00 EDT 2008,425000,38.512602,-121.08723300000001
SACRAMENTO,14 CASA VATONI PL,95834,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,433500,38.650221,-121.551704
LINCOLN,1456 EAGLESFIELD LN,95648,CA,4,3,0,Residential,Tue May 20 00:00:00 EDT 2008,436746,38.857634999999995,-121.311375
EL DORADO HILLS,4100 BOTHWELL CIR,95762,CA,5,3,0,Residential,Tue May 20 00:00:00 EDT 2008,438700,38.679136,-121.034329
SACRAMENTO,427 21ST ST,95811,CA,2,1,1247,Residential,Tue May 20 00:00:00 EDT 2008,445000,38.582603999999996,-121.47576000000001
FOLSOM,1044 GALSTON DR,95630,CA,4,2,2581,Residential,Tue May 20 00:00:00 EDT 2008,450000,38.676306,-121.09953999999999
SACRAMENTO,4440 SYCAMORE AVE,95841,CA,3,1,2068,Residential,Tue May 20 00:00:00 EDT 2008,460000,38.646374,-121.35365800000001
EL DORADO HILLS,1032 SOUZA DR,95762,CA,3,2,0,Residential,Tue May 20 00:00:00 EDT 2008,460000,38.668239,-121.06443700000001
ELK GROVE,9760 LAZULITE CT,95624,CA,4,3,3992,Residential,Tue May 20 00:00:00 EDT 2008,460000,38.403609,-121.33554099999999
SACRAMENTO,241 LANFRANCO CIR,95835,CA,4,4,3397,Residential,Tue May 20 00:00:00 EDT 2008,465000,38.665696000000004,-121.54943700000001
SACRAMENTO,5559 NORTHBOROUGH DR,95835,CA,5,3,3881,Residential,Tue May 20 00:00:00 EDT 2008,471750,38.677225,-121.519687
ROCKLIN,2125 BIG SKY DR,95765,CA,5,3,0,Residential,Tue May 20 00:00:00 EDT 2008,480000,38.801637,-121.278798
CARMICHAEL,2109 HAMLET PL,95608,CA,2,2,1598,Residential,Tue May 20 00:00:00 EDT 2008,484000,38.602754,-121.329326
PLACERVILLE,9970 STATE HIGHWAY 193,95667,CA,4,3,1929,Residential,Tue May 20 00:00:00 EDT 2008,485000,38.787877,-120.816676
ELK GROVE,2901 PINTAIL WAY,95757,CA,4,3,3070,Residential,Tue May 20 00:00:00 EDT 2008,495000,38.398488,-121.473424
ROSEVILLE,201 FIRESTONE DR,95678,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,500500,38.770153,-121.30003899999998
AUBURN,1740 HIGH ST,95603,CA,3,3,0,Residential,Tue May 20 00:00:00 EDT 2008,504000,38.891935,-121.08434
EL DORADO HILLS,2733 DANA LOOP,95762,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,541000,38.628459,-121.05507800000001
WILTON,9741 SADDLEBRED CT,95693,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,560000,38.408840999999995,-121.198039
SACRAMENTO,7756 TIGERWOODS DR,95829,CA,5,3,3984,Residential,Tue May 20 00:00:00 EDT 2008,572500,38.47643,-121.309243
CARMICHAEL,5709 RIVER OAK WAY,95608,CA,4,2,2222,Residential,Tue May 20 00:00:00 EDT 2008,582000,38.602461,-121.330979
ROSEVILLE,2981 WRINGER DR,95661,CA,4,3,3838,Residential,Tue May 20 00:00:00 EDT 2008,613401,38.735372999999996,-121.22707199999999
ROSEVILLE,8616 ROCKPORTE CT,95747,CA,4,2,0,Residential,Tue May 20 00:00:00 EDT 2008,614000,38.742118,-121.359909
FAIR OAKS,4128 HILL ST,95628,CA,5,5,2846,Residential,Tue May 20 00:00:00 EDT 2008,680000,38.64167,-121.26209899999999
SACRAMENTO,1409 47TH ST,95819,CA,5,2,2484,Residential,Tue May 20 00:00:00 EDT 2008,699000,38.563244,-121.446876
LOOMIS,3935 EL MONTE DR,95650,CA,4,4,1624,Residential,Tue May 20 00:00:00 EDT 2008,839000,38.813337,-121.133348
SACRAMENTO,5840 WALERGA RD,95842,CA,2,1,840,Condo,Mon May 19 00:00:00 EDT 2008,40000,38.673678,-121.35747099999999
SACRAMENTO,923 FULTON AVE,95825,CA,1,1,484,Condo,Mon May 19 00:00:00 EDT 2008,48000,38.582279,-121.401482
SACRAMENTO,261 REDONDO AVE,95815,CA,3,1,970,Residential,Mon May 19 00:00:00 EDT 2008,61500,38.620684999999995,-121.46053899999998
SACRAMENTO,4030 BROADWAY,95817,CA,2,1,623,Residential,Mon May 19 00:00:00 EDT 2008,62050,38.546797999999995,-121.46003799999998
SACRAMENTO,3660 22ND AVE,95820,CA,2,1,932,Residential,Mon May 19 00:00:00 EDT 2008,65000,38.532718,-121.46746999999999
SACRAMENTO,3924 HIGH ST,95838,CA,2,1,796,Residential,Mon May 19 00:00:00 EDT 2008,65000,38.638797,-121.43504899999999
SACRAMENTO,4734 14TH AVE,95820,CA,2,1,834,Residential,Mon May 19 00:00:00 EDT 2008,68000,38.539446999999996,-121.45085800000001
SACRAMENTO,4734 14TH AVE,95820,CA,2,1,834,Residential,Mon May 19 00:00:00 EDT 2008,68000,38.539446999999996,-121.45085800000001
SACRAMENTO,5050 RHODE ISLAND DR Unit 4,95841,CA,2,1,924,Condo,Mon May 19 00:00:00 EDT 2008,77000,38.658739000000004,-121.33356100000002
SACRAMENTO,4513 GREENHOLME DR,95842,CA,2,1,795,Condo,Mon May 19 00:00:00 EDT 2008,82732,38.669104,-121.359008
SACRAMENTO,3845 ELM ST,95838,CA,3,1,1250,Residential,Mon May 19 00:00:00 EDT 2008,84000,38.637337,-121.43283500000001
SACRAMENTO,3908 17TH AVE,95820,CA,2,1,984,Residential,Mon May 19 00:00:00 EDT 2008,84675,38.537279999999996,-121.463531
SACRAMENTO,7109 CHANDLER DR,95828,CA,3,1,1013,Residential,Mon May 19 00:00:00 EDT 2008,85000,38.497237,-121.42418700000002
SACRAMENTO,7541 SKELTON WAY,95822,CA,3,1,1012,Residential,Mon May 19 00:00:00 EDT 2008,90000,38.484274,-121.488851
SACRAMENTO,9058 MONTOYA ST,95826,CA,2,1,795,Condo,Mon May 19 00:00:00 EDT 2008,90000,38.559144,-121.36838700000001
SACRAMENTO,1016 CONGRESS AVE,95838,CA,2,2,918,Residential,Mon May 19 00:00:00 EDT 2008,91000,38.630151,-121.44278899999999
SACRAMENTO,540 MORRISON AVE,95838,CA,3,1,1082,Residential,Mon May 19 00:00:00 EDT 2008,95000,38.637704,-121.453946
SACRAMENTO,5303 JERRETT WAY,95842,CA,2,1,964,Residential,Mon May 19 00:00:00 EDT 2008,97500,38.663282,-121.35963100000001
SACRAMENTO,2820 DEL PASO BLVD,95815,CA,4,2,1404,Multi-Family,Mon May 19 00:00:00 EDT 2008,100000,38.617717999999996,-121.44008899999999
SACRAMENTO,3715 TALLYHO DR Unit 78HIGH,95826,CA,1,1,625,Condo,Mon May 19 00:00:00 EDT 2008,100000,38.544627,-121.35796
CITRUS HEIGHTS,6013 ROWAN WAY,95621,CA,2,1,888,Residential,Mon May 19 00:00:00 EDT 2008,101000,38.675893,-121.2963
SACRAMENTO,2987 PONDEROSA LN,95815,CA,4,2,1120,Residential,Mon May 19 00:00:00 EDT 2008,102750,38.622243,-121.45786299999999
NORTH HIGHLANDS,3732 LANKERSHIM WAY,95660,CA,3,1,1331,Residential,Mon May 19 00:00:00 EDT 2008,112500,38.68972,-121.378399
SACRAMENTO,2216 DUNLAP DR,95821,CA,3,1,1014,Residential,Mon May 19 00:00:00 EDT 2008,113000,38.623738,-121.41305
SACRAMENTO,3503 21ST AVE,95820,CA,4,2,1448,Residential,Mon May 19 00:00:00 EDT 2008,114000,38.533609999999996,-121.46930800000001
SACRAMENTO,523 EXCHANGE ST,95838,CA,3,1,966,Residential,Mon May 19 00:00:00 EDT 2008,114000,38.659414,-121.45408
SACRAMENTO,8101 PORT ROYALE WAY,95823,CA,2,1,779,Residential,Mon May 19 00:00:00 EDT 2008,114750,38.463929,-121.438667
ANTELOPE,8020 WALERGA RD,95843,CA,2,2,836,Condo,Mon May 19 00:00:00 EDT 2008,115000,38.71607,-121.36446799999999
ROSEVILLE,167 VALLEY OAK DR,95678,CA,2,2,1100,Condo,Mon May 19 00:00:00 EDT 2008,115000,38.732428999999996,-121.288069
SACRAMENTO,7876 BURLINGTON WAY,95832,CA,3,1,1174,Residential,Mon May 19 00:00:00 EDT 2008,116100,38.470093,-121.468347
NORTH HIGHLANDS,3726 JONKO AVE,95660,CA,3,2,1207,Residential,Mon May 19 00:00:00 EDT 2008,119250,38.656131,-121.377265
SACRAMENTO,7342 GIGI PL,95828,CA,4,4,1995,Multi-Family,Mon May 19 00:00:00 EDT 2008,120000,38.490704,-121.410176
SACRAMENTO,2610 PHYLLIS AVE,95820,CA,2,1,804,Residential,Mon May 19 00:00:00 EDT 2008,120000,38.53105,-121.479574
SACRAMENTO,4200 COMMERCE WAY Unit 711,95834,CA,2,2,958,Condo,Mon May 19 00:00:00 EDT 2008,120000,38.647523,-121.52321699999999
SACRAMENTO,4621 COUNTRY SCENE WAY,95823,CA,3,2,1366,Residential,Mon May 19 00:00:00 EDT 2008,120108,38.470187,-121.448149
SACRAMENTO,5380 VILLAGE WOOD DR,95823,CA,2,2,901,Residential,Mon May 19 00:00:00 EDT 2008,121500,38.454949,-121.440578
SACRAMENTO,2621 EVERGREEN ST,95815,CA,3,1,696,Residential,Mon May 19 00:00:00 EDT 2008,121725,38.613103,-121.44408500000002
GALT,201 CARLO CT,95632,CA,3,2,1080,Residential,Mon May 19 00:00:00 EDT 2008,122000,38.24227,-121.31031999999999
